Dates,AccountID,Churn,accounts,startdate,size,industry,tenure,enddate,Tenure
2021-04-01 00:00:00,46147,Active,46147,2020-12-16 15:03:48,Small,Manufacturing,195,2021-06-29 15:03:48,105
2021-04-01 00:00:00,52694,Active,52694,2020-07-25 08:05:56,Small,PublicSector,308,2021-05-29 08:05:56,249
2021-04-01 00:00:00,1206,Active,1206,2020-07-19 11:05:17,Large,Manufacturing,382,2021-08-05 11:05:17,255
2021-04-01 00:00:00,89471,Active,89471,2021-02-27 12:24:01,Small,Manufacturing,252,2021-11-06 12:24:01,32
2021-04-01 00:00:00,51803,Active,51803,2020-04-21 16:19:17,Small,PublicSector,402,2021-05-28 16:19:17,344
2021-04-01 00:00:00,94846,Active,94846,2021-01-05 10:55:17,Large,Manufacturing,412,2022-02-21 10:55:17,85
2021-04-01 00:00:00,5034,Active,5034,2020-10-29 04:25:29,Small,Manufacturing,312,2021-09-06 04:25:29,153
2021-04-01 00:00:00,66974,Active,66974,2020-10-20 09:56:17,Small,Construction,321,2021-09-06 09:56:17,162
2021-04-01 00:00:00,11153,Active,11153,2020-09-29 23:23:39,Small,PublicSector,221,2021-05-08 23:23:39,183
2021-04-01 00:00:00,27981,Active,27981,2020-09-24 14:28:01,Small,PublicSector,225,2021-05-07 14:28:01,188
2021-04-01 00:00:00,85770,Active,85770,2020-10-20 16:39:24,Small,PublicSector,459,2022-01-22 16:39:24,162
2021-04-01 00:00:00,83453,Active,83453,2020-02-13 16:41:16,Small,PublicSector,554,2021-08-20 16:41:16,412
2021-04-01 00:00:00,97641,Churn,97641,2020-03-19 04:38:19,Small,PublicSector,382,2021-04-05 04:38:19,377
2021-04-01 00:00:00,16543,Active,16543,2020-08-16 04:28:39,Small,PublicSector,405,2021-09-25 04:28:39,227
2021-04-01 00:00:00,26693,Active,26693,2020-09-29 12:00:06,Small,PublicSector,353,2021-09-17 12:00:06,183
2021-04-01 00:00:00,53862,Churn,53862,2020-08-13 04:18:50,Small,Manufacturing,248,2021-04-18 04:18:50,230
2021-04-01 00:00:00,75320,Churn,75320,2020-08-01 22:40:37,Small,Military,256,2021-04-14 22:40:37,242
2021-04-01 00:00:00,20194,Active,20194,2021-03-14 09:06:27,Large,Military,500,2022-07-27 09:06:27,17
2021-04-01 00:00:00,41904,Active,41904,2020-11-18 10:37:32,Small,Military,425,2022-01-17 10:37:32,133
2021-04-01 00:00:00,30665,Active,30665,2020-08-27 16:18:18,Small,Military,461,2021-12-01 16:18:18,216
2021-04-01 00:00:00,44556,Active,44556,2020-04-05 08:25:09,Large,PublicSector,460,2021-07-09 08:25:09,360
2021-04-01 00:00:00,71518,Active,71518,2020-06-17 10:55:00,Large,Manufacturing,347,2021-05-30 10:55:00,287
2021-04-01 00:00:00,82530,Active,82530,2020-10-15 11:20:50,Small,PublicSector,320,2021-08-31 11:20:50,167
2021-04-01 00:00:00,48325,Active,48325,2020-10-20 15:07:09,Small,Manufacturing,344,2021-09-29 15:07:09,162
2021-04-01 00:00:00,3267,Active,3267,2021-03-23 06:36:55,Small,Other,287,2022-01-04 06:36:55,8
2021-04-01 00:00:00,91131,Active,91131,2020-11-22 17:57:32,Small,PublicSector,185,2021-05-26 17:57:32,129
2021-04-01 00:00:00,27131,Active,27131,2020-03-25 15:46:12,Large,Military,445,2021-06-13 15:46:12,371
2021-04-01 00:00:00,55750,Active,55750,2020-11-02 14:23:43,Small,Manufacturing,381,2021-11-18 14:23:43,149
2021-04-01 00:00:00,82999,Active,82999,2020-07-24 08:16:34,Small,Manufacturing,425,2021-09-22 08:16:34,250
2021-04-01 00:00:00,38571,Active,38571,2020-09-29 06:07:08,Small,PublicSector,436,2021-12-09 06:07:08,183
2021-04-01 00:00:00,56904,Active,56904,2021-01-15 14:20:28,Large,PublicSector,573,2022-08-11 14:20:28,75
2021-04-01 00:00:00,99136,Active,99136,2020-12-03 07:12:05,Small,PublicSector,260,2021-08-20 07:12:05,118
2021-04-01 00:00:00,54781,Active,54781,2020-09-14 15:08:59,Large,Construction,335,2021-08-15 15:08:59,198
2021-04-01 00:00:00,4536,Active,4536,2020-08-12 04:44:00,Small,Military,302,2021-06-10 04:44:00,231
2021-04-01 00:00:00,76045,Active,76045,2020-08-30 09:05:11,Small,Manufacturing,365,2021-08-30 09:05:11,213
2021-04-01 00:00:00,15406,Active,15406,2020-07-05 14:50:31,Small,Manufacturing,361,2021-07-01 14:50:31,269
2021-04-01 00:00:00,30598,Active,30598,2021-01-08 14:25:27,Small,Military,232,2021-08-28 14:25:27,82
2021-04-01 00:00:00,12208,Active,12208,2020-11-16 19:21:50,Small,Other,276,2021-08-19 19:21:50,135
2021-04-01 00:00:00,46734,Active,46734,2021-03-07 13:56:50,Small,PublicSector,367,2022-03-09 13:56:50,24
2021-04-01 00:00:00,80990,Active,80990,2020-12-07 21:18:54,Large,PublicSector,438,2022-02-18 21:18:54,114
2021-04-01 00:00:00,22493,Active,22493,2020-11-09 16:44:38,Small,PublicSector,257,2021-07-24 16:44:38,142
2021-04-01 00:00:00,95911,Active,95911,2020-10-12 16:43:12,Small,Manufacturing,334,2021-09-11 16:43:12,170
2021-04-01 00:00:00,65193,Active,65193,2020-07-11 06:39:04,Small,PublicSector,603,2022-03-06 06:39:04,263
2021-04-01 00:00:00,43132,Active,43132,2020-06-18 16:55:58,Small,PublicSector,342,2021-05-26 16:55:58,286
2021-04-01 00:00:00,23187,Active,23187,2021-01-11 12:49:59,Small,PublicSector,357,2022-01-03 12:49:59,79
2021-04-01 00:00:00,75548,Churn,75548,2019-12-07 05:29:04,Large,Military,505,2021-04-25 05:29:04,480
2021-04-01 00:00:00,63269,Active,63269,2020-11-06 16:08:05,Small,PublicSector,357,2021-10-29 16:08:05,145
2021-04-01 00:00:00,31318,Active,31318,2020-06-24 22:55:20,Small,PublicSector,314,2021-05-04 22:55:20,280
2021-04-01 00:00:00,37765,Active,37765,2020-11-11 22:52:53,Small,Construction,290,2021-08-28 22:52:53,140
2021-04-01 00:00:00,63094,Active,63094,2020-04-09 07:16:35,Large,PublicSector,534,2021-09-25 07:16:35,356
2021-04-01 00:00:00,18779,Active,18779,2020-03-03 21:09:37,Large,PublicSector,448,2021-05-25 21:09:37,393
2021-04-01 00:00:00,33023,Active,33023,2021-03-01 19:37:02,Large,PublicSector,357,2022-02-21 19:37:02,30
2021-04-01 00:00:00,50188,Active,50188,2020-06-16 22:32:44,Large,PublicSector,562,2021-12-30 22:32:44,288
2021-04-01 00:00:00,88969,Active,88969,2021-01-27 14:37:17,Small,PublicSector,364,2022-01-26 14:37:17,63
2021-04-01 00:00:00,48271,Active,48271,2021-02-09 17:54:51,Small,PublicSector,297,2021-12-03 17:54:51,50
2021-04-01 00:00:00,63661,Active,63661,2020-08-16 05:22:41,Large,PublicSector,409,2021-09-29 05:22:41,227
2021-04-01 00:00:00,89979,Active,89979,2020-10-18 21:34:57,Small,PublicSector,220,2021-05-26 21:34:57,164
2021-04-01 00:00:00,40372,Active,40372,2020-09-19 21:17:30,Small,PublicSector,388,2021-10-12 21:17:30,193
2021-04-01 00:00:00,70360,Churn,70360,2020-07-28 20:43:01,Large,Other,266,2021-04-20 20:43:01,246
2021-04-01 00:00:00,839,Active,839,2020-12-19 21:12:04,Small,PublicSector,276,2021-09-21 21:12:04,102
2021-04-01 00:00:00,38815,Active,38815,2020-08-29 08:52:55,Small,PublicSector,446,2021-11-18 08:52:55,214
2021-04-01 00:00:00,84193,Active,84193,2020-12-05 13:26:28,Small,PublicSector,181,2021-06-04 13:26:28,116
2021-04-01 00:00:00,9359,Active,9359,2021-01-14 18:06:33,Small,PublicSector,249,2021-09-20 18:06:33,76
2021-04-01 00:00:00,37756,Active,37756,2020-05-25 17:18:45,Small,Manufacturing,433,2021-08-01 17:18:45,310
2021-04-01 00:00:00,76931,Active,76931,2020-04-29 17:56:14,Large,Manufacturing,493,2021-09-04 17:56:14,336
2021-04-01 00:00:00,87237,Active,87237,2020-12-07 15:06:20,Small,Manufacturing,433,2022-02-13 15:06:20,114
2021-04-01 00:00:00,40568,Active,40568,2020-11-06 10:35:23,Small,Manufacturing,347,2021-10-19 10:35:23,145
2021-04-01 00:00:00,96145,Churn,96145,2020-07-14 04:56:04,Small,Construction,279,2021-04-19 04:56:04,260
2021-04-01 00:00:00,89886,Active,89886,2020-03-27 12:52:34,Small,PublicSector,495,2021-08-04 12:52:34,369
2021-04-01 00:00:00,39417,Churn,39417,2020-03-07 15:37:00,Small,Manufacturing,403,2021-04-14 15:37:00,389
2021-04-01 00:00:00,9748,Active,9748,2021-01-03 12:34:14,Large,PublicSector,297,2021-10-27 12:34:14,87
2021-04-01 00:00:00,88401,Active,88401,2021-01-15 04:19:33,Large,Construction,344,2021-12-25 04:19:33,75
2021-04-01 00:00:00,8999,Active,8999,2020-09-17 13:40:52,Large,PublicSector,628,2022-06-07 13:40:52,195
2021-04-01 00:00:00,19878,Churn,19878,2020-09-02 13:02:53,Small,PublicSector,238,2021-04-28 13:02:53,210
2021-04-01 00:00:00,87638,Active,87638,2021-02-20 00:33:48,Small,PublicSector,314,2021-12-31 00:33:48,39
2021-04-01 00:00:00,34858,Active,34858,2020-11-13 12:25:31,Small,PublicSector,374,2021-11-22 12:25:31,138
2021-04-01 00:00:00,4491,Active,4491,2020-09-18 12:17:54,Small,PublicSector,284,2021-06-29 12:17:54,194
2021-04-01 00:00:00,67638,Active,67638,2021-02-09 02:43:57,Small,Manufacturing,287,2021-11-23 02:43:57,50
2021-04-01 00:00:00,83522,Active,83522,2020-11-10 14:45:36,Small,Manufacturing,248,2021-07-16 14:45:36,141
2021-04-01 00:00:00,50748,Active,50748,2020-06-28 03:17:33,Small,PublicSector,396,2021-07-29 03:17:33,276
2021-04-01 00:00:00,28654,Active,28654,2021-03-14 20:24:11,Small,Manufacturing,396,2022-04-14 20:24:11,17
2021-04-01 00:00:00,25852,Active,25852,2021-01-18 21:56:32,Large,Military,615,2022-09-25 21:56:32,72
2021-04-01 00:00:00,82479,Active,82479,2020-10-20 22:26:24,Small,Military,376,2021-10-31 22:26:24,162
2021-04-01 00:00:00,2114,Active,2114,2020-12-26 06:29:01,Large,PublicSector,474,2022-04-14 06:29:01,95
2021-04-01 00:00:00,71056,Active,71056,2020-12-28 01:40:55,Small,Other,341,2021-12-04 01:40:55,93
2021-04-01 00:00:00,1604,Active,1604,2020-10-25 18:14:31,Small,PublicSector,192,2021-05-05 18:14:31,157
2021-04-01 00:00:00,82984,Active,82984,2020-10-13 20:10:37,Small,Manufacturing,263,2021-07-03 20:10:37,169
2021-04-01 00:00:00,97272,Active,97272,2020-06-02 01:42:49,Large,Manufacturing,386,2021-06-23 01:42:49,302
2021-04-01 00:00:00,33160,Active,33160,2021-03-25 23:00:21,Small,PublicSector,511,2022-08-18 23:00:21,6
2021-04-01 00:00:00,24717,Active,24717,2020-12-06 22:24:39,Small,Manufacturing,321,2021-10-23 22:24:39,115
2021-04-01 00:00:00,24536,Active,24536,2020-06-04 04:44:38,Small,Manufacturing,341,2021-05-11 04:44:38,300
2021-04-01 00:00:00,41256,Active,41256,2021-01-11 02:11:06,Small,Other,282,2021-10-20 02:11:06,79
2021-04-01 00:00:00,63890,Active,63890,2020-08-10 04:54:53,Small,Manufacturing,370,2021-08-15 04:54:53,233
2021-04-01 00:00:00,31587,Active,31587,2020-11-26 19:40:41,Large,Military,372,2021-12-03 19:40:41,125
2021-04-01 00:00:00,75254,Active,75254,2021-01-09 16:15:14,Small,Manufacturing,358,2022-01-02 16:15:14,81
2021-04-01 00:00:00,14729,Active,14729,2021-02-06 06:29:31,Small,Manufacturing,397,2022-03-10 06:29:31,53
2021-04-01 00:00:00,83920,Active,83920,2020-04-04 15:51:50,Large,Manufacturing,439,2021-06-17 15:51:50,361
2021-04-01 00:00:00,54119,Active,54119,2020-11-24 23:16:11,Small,Manufacturing,265,2021-08-16 23:16:11,127
2021-04-01 00:00:00,62960,Active,62960,2020-10-09 14:20:05,Small,PublicSector,327,2021-09-01 14:20:05,173
2021-04-01 00:00:00,20878,Active,20878,2020-12-27 01:46:17,Small,Other,273,2021-09-26 01:46:17,94
2021-04-01 00:00:00,9402,Active,9402,2020-08-28 19:47:09,Small,Manufacturing,276,2021-05-31 19:47:09,215
2021-04-01 00:00:00,62139,Active,62139,2020-08-29 18:52:50,Small,Military,339,2021-08-03 18:52:50,214
2021-04-01 00:00:00,84253,Active,84253,2020-07-03 03:48:35,Small,PublicSector,447,2021-09-23 03:48:35,271
2021-04-01 00:00:00,57555,Active,57555,2020-12-11 08:43:55,Small,Construction,400,2022-01-15 08:43:55,110
2021-04-01 00:00:00,47266,Active,47266,2020-10-21 05:24:38,Large,PublicSector,329,2021-09-15 05:24:38,161
2021-04-01 00:00:00,37420,Active,37420,2020-10-28 19:22:44,Large,Construction,401,2021-12-03 19:22:44,154
2021-04-01 00:00:00,28685,Active,28685,2021-02-27 20:23:37,Small,Construction,250,2021-11-04 20:23:37,32
